isbn_or_asin,book_title,author,publisher,published_date
4635048861,マタギ奇談,"工藤,隆雄,1953-",山と溪谷社,202007
4480028188,路上観察学入門,赤瀬川原平／著 藤森照信／著 南伸坊／編集,筑摩書房,19930101
4480087044,快読１００万語！ペーパーバックへの道,酒井邦秀／著,筑摩書房,20020601
4315523275,"マス・アート : 真理,美,そして方程式","Ornes,Stephen 巴山,竜来,1982- 赤池,ともえ",ニュートンプレス,202102
4863134975,西洋アンティーク・ボードゲーム : 19世紀に愛された遊びの世界,"Seville,Adrian 鍋倉,僚介",日経BPマーケティング (発売),202101
4562059079,図説世界地下名所百科 : イスタンブールの沈没宮殿、メキシコの麻薬密輸トンネルから首都圏外郭放水路まで,"Fitch,Chris,1988- 上京,恵",原書房,202102
4802612168,Pythonでいかにして暗号を破るか : 古典暗号解読プログラムを自作する本,"Sweigart,Al IPUSIRON,1979-",ソシム,202101
4535606137,数学の言葉づかい100 : 数学地方のおもしろ方言,数学セミナー編集部,日本評論社,199904
4844379038,入門GUI : Webブラウザで作る本格インタラクション,"hashrock,daiiz,miyaoka,f_subal,hashrock, daiiz, miyaoka, f_subal 著","インプレスR&D,インプレス","Wed, 25 Jan 2023 06:16:45 +0900"
4299004507,塀の中の元極道YouTuberが明かすヤクザの裏知識,"懲役,太郎",宝島社,202006
4309228038,まじないの文化史 : 見るだけで楽しめる! : 日本の呪術を読み解く,新潟県立歴史博物館,河出書房新社,202005
4254102739,人間の許容限界事典,"山崎,昌廣,1953- 坂本,和義 関,邦博,1944-",朝倉書店,201507
4750516597,地下世界をめぐる冒険,ウィル・ハント／著 棚橋志行／翻訳,亜紀書房,20200826
4760151931,世界でいちばん虚無な場所 : 旅行に幻滅した人のためのガイドブック,"Rudd,Damien,1984- 菅野,楽章,1988-",柏書房,202004
4488564100,日本怪奇実話集 : 亡者会,"東,雅夫,1958-",東京創元社,202009
4044005907,日本俗信辞典 動物編,"鈴木,棠三,1911-1992",KADOKAWA,202004
4044005915,日本俗信辞典 植物編,"鈴木,棠三,1911-1992",KADOKAWA,202006
4044005303,贋札の世界史,"植村,峻,1935-",KADOKAWA,202003
4044005478,オノマトペ : 擬音語・擬態語の世界,"小野,正弘",KADOKAWA,201912
4140840412,将棋界奇々快々,"河口, 俊彦, 1936-2015,河口俊彦 著",日本放送出版協会,"Tue, 3 Feb 2015 07:04:14 +0900"
4389201395,ひとりで学べる地学,,清水書院,201909
4839970491,マンガで学ぶ昆虫の進化,"金,渡潤 山口,裕美子,pub.2020",マイナビ出版,202005
4480098844,中世の覚醒,リチャード・Ｅ．ルーベンスタイン／著 小沢千重子／翻訳,筑摩書房,20181010
4635320146,マタギ奇談,"工藤,隆雄,1953-",山と溪谷社,201610
448006513X,完全教祖マニュアル,架神恭介／著 辰巳一世／著,筑摩書房,20091101
4621063014,暗号の代数理論,"Koblitz, Neal,林, 彬,シュプリンガージャパン,N. コブリッツ著 ; 林彬訳 ; シュプリンガー・ジャパン編集",丸善出版,"Thu, 21 Sep 2023 08:21:44 +0900"
4781617417,ダークウェブ・アンダーグラウンド : 社会秩序を逸脱するネット暗部の住人たち,"木澤,佐登志,1988-",イースト・プレス,201901
4774197076,超有名進学校生の数学的発想力 : 日本最高峰の頭脳に迫る,"吉田, 信夫, 1977-,アップ,吉田信夫 著,アップ 編集",技術評論社,"Sat, 16 Jun 2018 01:18:59 +0900"
4041080606,怪と幽 = KWAI & yoo vol.003,,KADOKAWA,201912
4041080592,怪と幽 = KWAI & yoo vol.002,,KADOKAWA,201908
4041080584,怪と幽 = KWAI & yoo vol.001,,KADOKAWA,201904
4041091152,怪と幽 = KWAI & yoo vol.004,,KADOKAWA,202004
4286210456,1日30分であなたも現代の魔術師になれる : 混沌魔術入門,"黒野, 忍, 1971-,黒野忍 著",文芸社,"Mon, 6 Apr 2020 18:39:14 +0900"
4799325469,越前敏弥の日本人なら必ず誤訳する英文,越前敏弥 [著],ディスカヴァー・トゥエンティワン,"Mon, 30 Sep 2019 21:59:12 +0900"
4596551537,スパイダー・ネットワーク : 金融史に残る詐欺事件-LIBORスキャンダルの全内幕,"Enrich,David,1979- 高崎,拓哉,1979-",ハーパーコリンズ・ジャパン,202003
4047358533,クトゥルフの呼び声 = THE CALL OF CTHULHU : ラヴクラフト傑作集,"Lovecraft,HowardPhillips,1890-1937 田邊,剛,1975-",KADOKAWA,201912
4047299111,魔犬 = THE HOUND and Other Stories : ラヴクラフト傑作集,"田邊,剛,1975-",KADOKAWA,201409
4047352888,時を超える影 : ラヴクラフト傑作集 1,"Lovecraft,HowardPhillips,1890-1937 田邊,剛,1975-",KADOKAWA,201808
