isbn_or_asin,book_title,author,publisher,published_date,central_opac_link,mathlib_opac_link
4339027979,CGによるシミュレーションと可視化 = Simulation and Visualization with Computer Graphics,"菊池,司 竹島,由里子",コロナ社,202304,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01566512,
4339029092,キャラクタアニメーションの数理とシステム = Mathematical Models and Systems for Character Animation : 3次元ゲームにおける身体運動生成と人工知能,"向井,智彦 川地,克明 三宅,陽一郎,1975-",コロナ社,202008,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB31575890,
4339013714,3DCGの数理と応用 = Mathematics and Applications of 3DCG,"三谷,純,1975- 高山,健志 土橋,宜典,1969- 向井,智彦 藤澤,誠",コロナ社,202307,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02679842,
4087212610,「イクメン」を疑え!,"関口,洋平,1980-",集英社,202304,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD0165720X,
4812222133,経済学史入門 : 経済学方法論からのアプローチ,"久保,真 中澤,信彦,1968-",昭和堂,202304,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01480235,
406530993X,物理のためのデータサイエンス入門 = Introduction to Data Science for Physics,"植村,誠,1977-",講談社,202303,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01470399,
4489022212,研究計画書デザイン : 大学院入試から修士論文完成まで,"細川,英雄,1949-",東京図書,201510,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB19698381,
4788518007,６歳と３歳のおまけシール騒動,麻生武／著,新曜社,20230313,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01111534,
4326250720,伝えるための心理統計 : 効果量・信頼区間・検定力,"大久保,街亜 岡田,謙介,1981-",勁草書房,201201,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB08158418,
476642803X,地下出版のメディア史,大尾侑子／著,慶應義塾大学出版会,20220325,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC13628482,
4003101308,飯待つ間 : 正岡子規随筆選,"正岡,子規 阿部,昭",岩波書店,198503,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN00239543,
4794226144,映画を追え : フィルムコレクター歴訪の旅,"山根,貞男,1939-",草思社,202302,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00519674,
4588151320,人文学・社会科学の社会的インパクト,加藤泰史／編 松塚ゆかり／編,法政大学出版局,20230327,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01341636,
4130120522,哲学　原典資料集,山本巍／著 ほか／著,東京大学出版会,19930201,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN08692333,
4326852003,絵本のなかの動物はなぜ一列に歩いているのか : 空間の絵本学,"矢野,智司,1954- 佐々木,美砂",勁草書房,202302,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD00794147,
4797393165,体系的に学ぶ安全なWebアプリケーションの作り方 = Developing Secure Web Applications : 脆弱性が生まれる原理と対策の実践,"徳丸,浩",SBクリエイティブ,201806,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26358383,
4320036190,社会物理学 = Sociophysics : モデルでひもとく社会の構造とダイナミクス,"小田垣,孝,1945- 佐野,幸恵 山崎,義弘 山本,健,数理物理",共立出版,202210,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC17289811,
4065277086,世界鉄道文化史,"小島,英俊,1939-",講談社,202205,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC14549199,
4498229282,統合失調症当事者の症状論,"村松太郎 編著,林公一 著,村松, 太郎,林, 公一,",中外医学社,"Mon, 01 Mar 2021 09:00:00 +0900",https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC05495714,
4295012270,Pythonで学ぶ音声合成 = Text-to-speech with Python,"山本,龍一 高道,慎之介",インプレス,202108,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC0920631X,
4862152368,まじなひの研究 : 考古資料と古記録・呪法書,"水野,正好,1934-2015",高志書院,202305,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD02337033,
4867350400,中国神話史,袁珂／著 佐々木猛／翻訳,集広舎,20230710,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD0278479X,
4314011971,眠りつづける少女たち : 脳神経科医は〈謎の病〉を調査する旅に出た,"O'Sullivan,Suzanne 高橋,洋,1960-",紀伊國屋書店,202305,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD01878413,
4797386479,ふつうのLinuxプログラミング : Linuxの仕組みから学べるgccプログラミングの王道,"青木,峰郎",SBクリエイティブ,201709,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB24446344,
4121020561,日本語作文術 : 伝わる文章を書くために,"野内,良三,1944-",中央公論新社,201005,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB02066543,
481580916X,胃袋の近代 食と人びとの日常史,湯澤規子／著,名古屋大学出版会,20180627,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26359036,
