isbn_or_asin,book_title,author,publisher,published_date,exist_in_sophia
4839977607,AWSではじめるクラウド開発入門 : コードを書いて学ぶエンジニア・科学者のためのハンズオン教材,"真野,智之",マイナビ出版,202109,No
4480097635,数学基礎論,前原昭二／著 竹内外史／著,筑摩書房,20170110,No
4873117127,コンピュータシステムの理論と実装 : モダンなコンピュータの作り方,"Nisan,Noam Schocken,Shimon 斎藤,康毅,1984-",オーム社,201503,No
4839909865,CPUの創りかた : IC10個のお手軽CPU設計超入門 : 初歩のデジタル回路動作の基本原理と製作,"渡波,郁",毎日コミュニケーションズ,200309,No
4864718652,スーパーナチュラル・ウォー : 第一次世界大戦と驚異のオカルト・魔術・民間信仰,"Davies,Owen,1969- 江口,之隆,1958-",ヒカルランド,202004,No
4404035861,危ない食卓 : 十九世紀イギリス文学にみる食と毒,"横山,茂雄,1954-",新人物往来社,200812,No
4297125161,暗号から学ぶ代数学,"川添,充,1968- 上野,健爾,1945-",技術評論社,202112,No
4010377275,総合的研究問題文の読み取り方-数学1・A・2・B : 大学受験,,旺文社,202108,No
4150315000,異常論文,"樋口,恭介,1989-",早川書房,202110,No
4004130018,歴史とは何か,Ｅ．Ｈ．カー,岩波書店,1962-01,No
4322139884,飲みの技法,"Opsopäus,Vincentius 原澤,隆三郎,1951-",きんざい,202110,No
4909466010,エヴァンゲリオンイラスト集 : 2007-2017,"「エヴァンゲリオンイラスト集 2007-2017」編集部編 ; カラー監修,「エヴァンゲリオンイラスト集」編集部,",グラウンドワークス,,No
4044006261,もっとヘンな論文,サンキュータツオ,KADOKAWA,202007,No
4044003343,ヘンな論文,サンキュータツオ,KADOKAWA,201711,No
4046043938,"奇書の世界史 : 歴史を動かす""ヤバい書物""の物語","三崎,律日,1990-",KADOKAWA,201908,No
4426624096,世界の奇書 : 総解説,,自由国民社,199804,No
4480510443,キリスト教の幼年期,エチエンヌ・トロクメ／著 加藤隆／翻訳,筑摩書房,20210812,No
4151845518,ブート・バザールの少年探偵,"Anappara,Deepa 坂本,あおい",早川書房,202104,No
4094070400,安楽死を遂げた日本人,"宮下,洋一,1976-",小学館,202107,No
4151201009,地下鉄道,"Whitehead,Colson,1969- 谷崎,由依",早川書房,202010,No
4062920484,図説金枝篇 下,"Frazer,JamesGeorge,1854-1941 MacCormack,Sabine ほか",講談社,201105,No
4062920476,図説金枝篇 上,"Frazer,JamesGeorge,1854-1941 MacCormack,Sabine ほか",講談社,201104,No
4863134940,世界の幽霊出現録,"Innes,Brian,1928-2014 大島,聡子",日経BPマーケティング (発売),202108,No
4839973490,詳解セキュリティコンテスト : CTFで学ぶ脆弱性攻略の技術,"梅内,翼 清水,祐太郎 藤原,裕大 前田,優人 米内,貴志 渡部,裕",マイナビ出版,202107,No
4065135060,プリキュアコスチュームクロニクル = Precure Costume Chronicle : プリキュア15周年アニバーサリー,東映アニメーション株式会社,講談社,201810,No
4991119006,数理物理研究,"田中俊行, 小西巌, 相原典明, 横山賢, 片桐奏羽, 近藤弘 著,田中, 俊行,小西, 巌,相原, 典明,横山, 賢, 1952-,片桐, 奏羽, 1977-,近藤, 弘, pub. 2020,",数理物理出版会,"Tue, 23 May 2023 09:00:00 +0900",No
4839965412,将棋AIで学ぶディープラーニング : 人より強い将棋プログラムを作る!,"山岡,忠夫",マイナビ出版,201803,No
4777519651,Java将棋のアルゴリズム,"池泰弘著 ; I/O編集部編,池, 泰弘,I/O編集部,",工学社,,No
4908686033,Goならわかるシステムプログラミング,"渋川よしき 著,渋川, よしき,",ラムダノート,"Mon, 11 Jun 2018 09:00:00 +0900",No
4798106577,教科書には載らないニッポンのインターネットの歴史教科書,ばるぼら,翔泳社,200505,No
430946730X,ヒーラ細胞の数奇な運命 : 医学の革命と忘れ去られた黒人女性,"Skloot,Rebecca,1972- 中里,京子,1955-",河出書房新社,202103,No
4767827779,すごいエスカレーター = SUPER ESCALATORS,"田村,美葉,1984-",エクスナレッジ,202009,No
4065225450,異端審問,"渡辺,昌美,1930-2016",講談社,202102,No
4000298313,代数への出発,"松坂,和夫,1927-2012",岩波書店,201503,No
4314011521,中古典のすすめ,"斉藤,美奈子,1956-",紀伊國屋書店,202009,No
4621061860,"暗号理論入門 : 暗号アルゴリズム, 署名と認証, その数学的基礎","Buchmann,Johannes 林,芳樹",丸善出版,201201,No
4905924405,19人の阿部定,"桑原稲敏著,桑原, 稲敏,",現代書林,,No
439393038X,音楽分析の歴史 : ムシカ・ポエティカからシェンカー分析へ,"久保田,慶一,1955-",春秋社,202003,No
4480864369,テキヤと社会主義,猪野健治／著,筑摩書房,20150225,No
4047308382,闇に這う者 = THE HAUNTER OF THE DARK : ラヴクラフト傑作集,"田邊,剛,1975-",KADOKAWA,201604,No
4757735804,アウトサイダー,"田邊,剛,1975-",エンターブレイン,200707,No
B07DSJ67FG,Not_found_in_GoogleBooks,Not_found_in_GoogleBooks,Not_found_in_GoogleBooks,Not_found_in_GoogleBooks,No
4297112744,スペースキーで見た目を整えるのはやめなさい : 8割の社会人が見落とす資料作成のキホン,,技術評論社,202006,No
4839971056,マンガで学ぶ恐竜の生態,"金,渡潤 渡辺,麻土香",マイナビ出版,202005,No
4797386673,この一冊で全部わかるネットワークの基本,"福永,勇二,1966-",SBクリエイティブ,201604,No
4480435921,「読まなくてもいい本」の読書案内,橘玲／著,筑摩書房,20190509,No
4040647343,VISIONS : ILLUSTRATORS BOOK 2021,ピクシブ株式会社,KADOKAWA,202011,No
4569841090,マルチ・ポテンシャライト : 好きなことを次々と仕事にして、一生食っていく方法,"Wapnick,Emilie 長澤,あかね",PHP研究所,201809,No
4044006202,自閉症は津軽弁を話さない : 自閉スペクトラム症のことばの謎を読み解く,"松本,敏治,1957-",KADOKAWA,202009,No
404735483X,時を超える影 : ラヴクラフト傑作集 2,"Lovecraft,HowardPhillips,1890-1937 田邊,剛,1975-",KADOKAWA,201901,No
4150505691,津波の霊たち : 3・11死と生の物語,"LloydParry,Richard,1969- 濱野,大道",早川書房,202101,No
4122052424,ピアニストという蛮族がいる,"中村,紘子,1944-2016",中央公論新社,200912,No
4778315928,エロマンガ表現史 = The Expression History of Ero-Manga,"稀見,理都",太田出版,201711,No
4635048861,マタギ奇談,"工藤,隆雄,1953-",山と溪谷社,202007,No
4480028188,路上観察学入門,赤瀬川原平／著 藤森照信／著 南伸坊／編集,筑摩書房,19930101,No
4750349267,アーカイブズ論 記録のちからと現代社会,スー・マケミッシュ／編 マイケル・ピゴット／編 バーバラ・リード／編 フランク・アップウォード／編 ほか,明石書店,20191225,No
4480087044,快読１００万語！ペーパーバックへの道,酒井邦秀／著,筑摩書房,20020601,No
4863134975,西洋アンティーク・ボードゲーム : 19世紀に愛された遊びの世界,"Seville,Adrian 鍋倉,僚介",日経BPマーケティング (発売),202101,No
4404042167,最新日本古代史の論争51,新人物往来社,新人物往来社,201206,No
430941172X,中世幻想世界への招待,"池上,俊一,1956-",河出書房新社,201209,No
4802612168,Pythonでいかにして暗号を破るか : 古典暗号解読プログラムを自作する本,"Sweigart,Al IPUSIRON,1979-",ソシム,202101,No
4535606137,数学の言葉づかい100 : 数学地方のおもしろ方言,数学セミナー編集部,日本評論社,199904,No
4621063146,楽器の物理学,"N.H.フレッチャー 著 ; T.D.ロッシング 著 ; 岸憲史 訳 ; 久保田秀美 訳 ; 吉川茂 訳,N.H.フレッチャー,T.D.ロッシング,岸, 憲史,久保田, 秀美,吉川, 茂,",丸善出版,,No
4844379038,入門GUI : Webブラウザで作る本格インタラクション,"hashrock, daiiz, miyaoka, f_subal 著,hashrock,daiiz,miyaoka,f_subal,","インプレスR&D,インプレス (発売)","Tue, 24 Jan 2023 09:00:00 +0900",No
4299004507,塀の中の元極道YouTuberが明かすヤクザの裏知識,"懲役,太郎",宝島社,202006,No
4309228038,まじないの文化史 : 見るだけで楽しめる! : 日本の呪術を読み解く,新潟県立歴史博物館,河出書房新社,202005,No
4297116014,揚げて炙ってわかるコンピュータのしくみ = Fry and Roast to understand how computer works,"秋田,純一,1970-",技術評論社,202009,No
4309463037,人間はどこまで耐えられるのか,"Ashcroft,FrancesM,1952- 矢羽野,薫,1969-",河出書房新社,200805,No
4254102739,人間の許容限界事典,"山崎,昌廣,1953- 坂本,和義 関,邦博,1944-",朝倉書店,201507,No
483188779X,なぜ人はカルトに惹かれるのか : 脱会支援の現場から,"瓜生,崇,1974-",法藏館,202005,No
4385107564,世界音声記号辞典,"Pullum,GeoffreyK,1945- Ladusaw,WilliamA,1952- ほか",三省堂,200305,No
4760151931,世界でいちばん虚無な場所 : 旅行に幻滅した人のためのガイドブック,"Rudd,Damien,1984- 菅野,楽章,1988-",柏書房,202004,No
4488564100,日本怪奇実話集 : 亡者会,"東,雅夫,1958-",東京創元社,202009,No
4062922819,最暗黒の東京,"松原,岩五郎,1866-1935",講談社,201502,No
4044005907,日本俗信辞典 動物編,"鈴木,棠三,1911-1992",KADOKAWA,202004,No
4044005915,日本俗信辞典 植物編,"鈴木,棠三,1911-1992",KADOKAWA,202006,No
4815809933,歴史家と少女殺人事件 レティシアの物語,イヴァン・ジャブロンカ／著 真野倫平／訳,名古屋大学出版会,20200703,No
4760150900,コロンブスの図書館,"Wilson-Lee,Edward 五十嵐,加奈子",柏書房,202005,No
4562057203,最期の言葉の村へ : 消滅危機言語タヤップを話す人々との30年,"Kulick,Don,1960- 上京,恵",原書房,202001,No
4044005303,贋札の世界史,"植村,峻,1935-",KADOKAWA,202003,No
448009993X,叙任権闘争,オーギュスタン・フリシュ／著 野口洋二／翻訳,筑摩書房,20200713,No
4140840412,将棋界奇々快々,"河口俊彦 著,河口, 俊彦, 1936-2015,",日本放送出版協会,"Mon, 02 Feb 2015 09:00:00 +0900",No
