isbn_or_asin,book_title,author,publisher,published_date
4385107564,世界音声記号辞典,"Pullum,GeoffreyK,1945- Ladusaw,WilliamA,1952- ほか",三省堂,200305
4062922819,最暗黒の東京,"松原,岩五郎,1866-1935",講談社,201502
4815809933,歴史家と少女殺人事件 レティシアの物語,イヴァン・ジャブロンカ／著 真野倫平／訳,名古屋大学出版会,20200703
4760150900,コロンブスの図書館,"Wilson-Lee,Edward 五十嵐,加奈子",柏書房,202005
4562057203,最期の言葉の村へ : 消滅危機言語タヤップを話す人々との30年,"Kulick,Don,1960- 上京,恵",原書房,202001
448009993X,叙任権闘争,オーギュスタン・フリシュ／著 野口洋二／翻訳,筑摩書房,20200713
4588622102,数学書として憲法を読む,秋葉忠利／著,法政大学出版局,20190717
4588140051,中世の食生活　〈新装版〉 断食と宴,B.A.ヘニッシュ／著 藤原保明／訳,法政大学出版局,20150223
4150503915,予想どおりに不合理 : 行動経済学が明かす「あなたがそれを選ぶわけ」,"Ariely,Dan,1967- 熊谷,淳子",早川書房,201308
477419607X,試して理解Linuxのしくみ : 実験と図解で学ぶOSとハードウェアの基礎知識,"武内,覚",技術評論社,201803
4296105353,みずほ銀行システム統合、苦闘の19年史 : 史上最大のITプロジェクト「3度目の正直」,"山端,宏実 岡部,一詩 中田,敦,1975-",日経BPマーケティング,202002
4061595180,常陸国風土記 : 全訳注,"秋本,吉徳,1947-",講談社,200110
4061598066,シャルルマーニュ伝説 : 中世の騎士ロマンス,"Bulfinch,Thomas,1796-1867 市場,泰男,1924-2016",講談社,200702
4774198765,エンジニアの知的生産術 : 効率的に学び、整理し、アウトプットする,"西尾,泰和",技術評論社,201808
4860114248,立体交差 : ジャンクション,"大山,顕",本の雑誌社,201902
4846008355,ヴァイブレーターの文化史,レイチェル・P・メインズ／著 佐藤雅彦／訳,論創社,20100120
4480092781,魔術的リアリズム : メランコリーの芸術,"種村季弘 著,種村, 季弘, 1933-2004,",筑摩書房,"Fri, 09 Apr 2010 09:00:00 +0900"
4167174057,うつくしい子ども,"石田,衣良,1960-",文藝春秋,200112
4314000430,幻想芸術,"Brion,Marcel 坂崎,乙郎",紀伊國屋書店,196805
456205669X,失われた芸術作品の記憶,"Charney,Noah 服部,理佳",原書房,201906
4480093133,グレン・グールドは語る,グレン・グールド／著 ジョナサン・コット／著 宮澤淳一／翻訳,筑摩書房,20101001
4320113802,動く曲線の数値計算 = Numerical computation of moving plane curves,"矢崎,成俊",共立出版,201907
4774176435,あなたの知らない超絶技巧プログラミングの世界,"遠藤,侑介",技術評論社,201510
4622015994,攻撃 : 悪の自然誌,"Lorenz,Konrad,1903-1989 日高,敏隆,1930-2009 久保,和彦,1928-1989",みすず書房,198504
4479750479,魔女論 : なぜ空を飛び、人を喰うか,"大和,岩雄,1928-",大和書房,201110
4891004568,コードコンプリート : 完全なプログラミングを目指して : マイクロソフト公式 下,"McConnell,Steve クイープ",日経BP出版センター,200503
489100455X,コードコンプリート : 完全なプログラミングを目指して : マイクロソフト公式 上,"McConnell,Steve クイープ",日経BP出版センター,200503
4062922177,醒睡笑 : 全訳注,"安楽庵,策伝,1554-1642 宮尾,与男,1948-",講談社,201402
4434133632,Let Over Lambda : Edition 1.0,"Hoyte,Doug タイムインターメディア",星雲社,200907
