isbn_or_asin,book_title,author,publisher,published_date,exist_in_sophia,central_opac_link,mathlib_opac_link
4004318351,紫外線の社会史 見えざる光が照らす日本,金凡性／著,岩波書店,20200522,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB30568481,
4787210459,バラエティ化する宗教,石井研士／編著,青弓社,20101022,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB03807080,
4047034363,和本の海へ : 豊饒の江戸文化,中野三敏／著,角川学芸 : 角川グループパブリッシング,2009-02,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA88966212,
4422143980,初期キリスト教・ビザンティン図像学研究,瀧口美香／著,創元社,20180131,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2554346X,
483186238X,近世仏書の文化史,万波寿子／著,法藏館,20180322,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25843361,
4815808171,〈驚異〉の文化史,山中由里子／編,名古屋大学出版会,20151023,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB19794443,
4560095590,写本の文化誌,クラウディア・ブリンカー・フォン・デア・ハイデ／著 一條麻美子／翻訳,白水社,20170723,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB24100372,
4152091665,予想どおりに不合理,"Ariely,Dan／著 熊谷淳子／翻訳 アリエリーダン／著",早川書房,2010-10,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB0364973X,
4582761089,日本残酷物語 保障なき社会,宮本常一／著,平凡社,1995-07,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN13002547,
4582761046,日本残酷物語 鎖国の悲劇,宮本常一／著,平凡社,1995-06,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN1268787X,
4582761127,日本残酷物語 近代の暗黒,宮本常一／著 山代巴／著 山本周五郎／著 楫西光速／著,平凡社,1995-08,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN13002616,
4582760996,日本残酷物語 忘れられた土地,宮本常一／著 山代巴／著 山本周五郎／著 楫西光速／著,平凡社,1995-05,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN12530652,
4582760953,日本残酷物語 貧しき人々のむれ,,平凡社,1995-04,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN1240734X,
476490408X,アルゴリズムイントロダクション 第3版　総合版,Ｔコルメン／著 Ｃライザーソン／著 Ｒリベスト／著 Ｃシュタイン／著 浅野哲夫／翻訳 ほか,近代科学社,20131217,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB14321546,
4309224881,憑き物耳袋,倉光清六／著,河出書房新社,2008-08,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA86876709,
4000111442,時空の力学 : 一般相対論の物理,細谷暁夫／著,岩波書店,2002-04,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA56416936,
4766425677,ビデオゲームの美学,松永伸司／著,慶應義塾大学出版会,20181020,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27046466,
4788516063,デジタル記号論,松本健太郎／著,新曜社,20190208,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27701696,
477419607X,試して理解Linuxのしくみ : 実験と図解で学ぶOSとハードウェアの基礎知識,武内覚／著,技術評論社,2018-3-8,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25526074,
433902905X,1から始める Juliaプログラミング,進藤裕之／著 佐藤建太／著,コロナ社,20200327,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB30062573,
4297105594,実践Rust入門[言語仕様から開発手法まで],κeen、河野達也、小松礼人／著,技術評論社,20190508,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28124281,
4873118476,作って動かすALife,岡瑞起／著 池上高志／著 ドミニクチェン／著 青木竜太／著 丸山典宏／著,オライリー・ジャパン,20180728,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26563542,
4792217091,誤訳の典型,中原道喜／著,聖文新社,20100901,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB03288802,
4327452327,英語のしくみと訳しかた,真野泰／著,研究社,2010-08,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB03139358,
