isbn_or_asin,book_title,author,publisher,published_date,sophia_opac
4320111761,数・学・探・検・共立講座 3,"新井,仁之,1959- 小林,俊行,1962- 斎藤,毅,1961- 石川,剛郎,1957-",共立出版,201512,
4130633740,数理は世界を創造できるか,横倉祐貴／著 ジェフリフォーセット／著 土井琢身／著 瀧雅人／著 初田哲男／編集 坪井俊／編集,東京大学出版会,20210601,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC07548265
4320110390,計算で身につくトポロジー = Introduction to Topology,"阿原,一志",共立出版,201307,
4065250455,なぜオナニーはうしろめたいのか 199 (星海社新書),"赤川,学,1967- 小堀,善友,1975- シオリーヌ,1991- 典雅",講談社 (発売),202110,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC10723432
4863542755,組込みエンジニアの教科書 = The textbook of the Embedded engineer,"渡辺,登,pub.2019 牧野,進二",シーアンドアール研究所,201904,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2814003X
4000298739,松坂和夫数学入門シリーズ = Kazuo Matsuzaka's Introduction to Mathematics. 3,"松坂,和夫,1927-2012",岩波書店,201811,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27181144
4061975978,新約聖書外典 (講談社文芸文庫),"荒井,献,1930-2024",講談社,199712,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA34100225
4151201009,地下鉄道 100 (ハヤカワepi文庫),"Whitehead,Colson,1969- 谷崎,由依",早川書房,202010,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4151201009
4880655066,ダム建設と地域住民補償,古賀邦雄／著,水曜社,20210624,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC08164043
4344983874,子どものまま中年化する若者たち : 根拠なき万能感とあきらめの心理 な-22-1 (幻冬舎新書),"鍋田,恭孝,1947-",幻冬舎,201507,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB19260653
4535601097,初等整数論 (日評数学選書),"遠山,啓",日本評論社,197202,
4000068776,代数入門 (現代数学への入門),"上野,健爾,1945-",岩波書店,200405,
4315523275,"マス・アート : 真理,美,そして方程式","Ornes,Stephen 巴山,竜来,1982- 赤池,ともえ",ニュートンプレス,202102,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC0504654X
4562059079,図説世界地下名所百科 : イスタンブールの沈没宮殿、メキシコの麻薬密輸トンネルから首都圏外郭放水路まで,"Fitch,Chris,1988- 上京,恵",原書房,202102,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC05584756
4750516597,地下世界をめぐる冒険 (亜紀書房翻訳ノンフィクション・シリーズⅢ-12),ウィル・ハント／著 棚橋志行／翻訳,亜紀書房,20200826,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC02154262
4044005907,日本俗信辞典. 動物編 J132-1 (角川ソフィア文庫),"鈴木,棠三,1911-1992",KADOKAWA,202004,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4044005907
4799325469,越前敏弥の日本人なら必ず誤訳する英文,越前敏弥 [著],ディスカヴァー・トゥエンティワン,"Mon, 30 Sep 2019 21:59:12 +0900",https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4799325469
4327452920,英文解体新書 : 構造と論理を読み解く英文解釈,,研究社,201907,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4327452920
4309416837,グレン・グールド よ11-4 (河出文庫),"吉田,秀和,1913-2012",河出書房新社,201905,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28112078
0582237521,Longman Dictionary of Common Errors New Edition,N Turton,Longman,1996-07-29,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=0582237521
4562051256,英国の幽霊伝説 : フォト・ストーリー : ナショナル・トラストの建物と怪奇現象,"Evans,Siân 村上,リコ 田口,未和",原書房,201501,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB1794831X
