isbn_or_asin,book_title,author,publisher,published_date,utokyo_opac
4480084878,日本文学史序説 上 / ちくま学芸文庫,"加藤, 周一, 1919-2008,加藤周一 著",筑摩書房,"Sat, 11 Apr 2009 08:59:59 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA41078658
4102184716,ケプラー予想 : 四百年の難問が解けるまで / 新潮文庫 ; シ-38-12,"Szpiro, George, 1950-,青木, 薫, 1956-,ジョージ・G・スピーロ [著],青木薫 訳",新潮社,"Fri, 31 Jan 2014 00:52:29 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB14436537
4331150526,プログラム学習による基礎電気工学 交流編 / 電気基礎講座 ; 3,"松下電器工学院,松下電器工学院 編著",[object Object],"Thu, 17 Apr 1997 00:00:00 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN02383030
4331150518,プログラム学習による基礎電気工学 直流編 / 電気基礎講座 1,"松下電器工学院,松下電器工学院 編著",松下電器産業,"Thu, 3 Dec 2009 09:00:00 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN02383030
433115050X,プログラム学習による基礎電子工学 電子回路編 1 / 電気基礎講座 ; 5,"松下電器工学院,松下電器工学院 編著",[object Object],"Sun, 3 Feb 2013 14:50:41 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN02383289
4040667956,捃拾帖 : 東京大学の学術遺産,"モリナガ, ヨウ,モリナガ・ヨウ著",KADOKAWA,"Sun, 22 Dec 2024 00:00:10 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB15919503
400500850X,聖徳太子 : ほんとうの姿を求めて / 岩波ジュニア新書 ; 850,"東野, 治之, 1946-,東野治之 著",岩波書店,"Mon, 23 May 2022 18:13:30 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB23491365
4834013871,昔話の語法,"小沢, 俊夫, 1930-,小澤俊夫 著",福音館書店,"Thu, 24 Oct 2019 03:06:35 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA43915332
4908468605,エセ著作権事件簿 : 著作権ヤクザ・パクられ妄想・著作権厨・トレパク冤罪 / 過剰権利主張ケーススタディーズ ; vol. 1,"友利, 昴, 1981-,友利昴 著",パブリブ,"Wed, 21 Sep 2022 00:57:18 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC17011633
4061592432,ケルト妖精学 / 講談社学術文庫,"井村, 君江, 1932-,井村君江 [著]",講談社,"Tue, 4 Mar 1997 09:00:00 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN14853823
4480087966,ケルト妖精学 / ちくま学芸文庫,"井村, 君江, 1932-,井村君江 著",筑摩書房,"Tue, 20 Jan 2004 01:54:48 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA64375721
4862464831,ゲームエンジンアーキテクチャ,"Gregory, Jason,今給黎, 隆, 1972-,湊, 和久,大貫, 宏美,田中, 幸, 翻訳家,ジェイソン・グレゴリー 著,今給黎隆, 湊和久 監修,大貫宏美, 田中幸 訳",ボーンデジタル,"Fri, 20 Aug 2021 19:34:42 +0900",https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BC04591359
