bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date
https://bookmeter.com/books/9904639,4502168114,実証分析のための計量経済学 = econometrics for empirical analysis : 正しい手法と結果の読み方,"山本,勲",中央経済社,201511
https://bookmeter.com/books/584912,4254117655,数理論理学 15 (現代基礎数学),"鹿島,亮 新井,仁之,1959- 小島,定吉,1952- 清水,勇二,1958-",朝倉書店,200910
https://bookmeter.com/books/1345598,4469261335,スポーツ人類学入門,"Blanchard,Kendall,1942- Cheska,AlyceTaylor ほか",大修館書店,198802
https://bookmeter.com/books/38959,4480081100,南方熊楠随筆集,南方熊楠／著 益田勝実／著,筑摩書房,19940101
https://bookmeter.com/books/574560,4150500797,スパイのためのハンドブック (ハヤカワ文庫 NF79),"ロッツ,ヴォルフガング 朝河伸英",早川書房,1982-03
https://bookmeter.com/books/3095892,4811548213,概説外国為替理論の歴史,"松岡, 和人, 1954-,松岡和人 著",多賀出版,"Wed, 25 Nov 1998 00:07:00 +0900"
https://bookmeter.com/books/482297,447968025X,幻想の肖像,"渋沢, 竜彦,渋沢竜彦 著",大和書房,"Mon, 1 Jan 1900 20:00:00 +0900"
https://bookmeter.com/books/384638,4900757535,特集音楽+幻想+文学,"幻想文学企画室,小林, 恭二",アトリエOCTA,"Fri, 12 Sep 2025 14:43:04 +0900"
https://bookmeter.com/books/3026229,4327410764,受験英語と日本人 : 入試問題と参考書からみる英語学習史,"江利川,春雄,1956-",研究社,201103
https://bookmeter.com/books/11223214,4163905677,米中もし戦わば : 戦争の地政学,"Navarro,Peter 赤根,洋子,1958-",文藝春秋,201611
https://bookmeter.com/books/646252,B000J8UB1Q,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD,Not_found_in_OpenBD
https://bookmeter.com/books/4792361,478776327X,キリシタン伝説百話,"谷,真介,1935-",新泉社,201204
https://bookmeter.com/books/858117,4842702990,みんなのためのノンパラメトリック回帰 : POD版,"竹澤,邦夫",吉岡書店,200112
