url,title,published_date
https://posfie.com/@mumimushunyu/p/X5TTmph,京大生の舐め腐った国家総合職試験合格体験記本当にすき。1日に5回は読み返せる→「これが狂大か…」「官僚にこんなの混じってるのか…」,2023-12-14T17:24:24+09:00
https://posfie.com/@hengsu/p/PXFmQeW,J.Koizumi氏による、平方剰余とドミノタイリングを結びつける公式を発見についての、中澤俊彦さんと神尾悠陽さんとの共著論文についての解説,2023-11-24T09:20:48+09:00
https://posfie.com/@petaritape/p/RGUQasm,男は40を超えると筋トレを始めランニングをしだし自転車に乗りキャンプに行き山に登りスパイスカレーを作り中華鍋を育て蕎麦を打ちだす→全部1人で完結する趣味,2023-09-08T09:40:37+09:00
https://posfie.com/@AyanoT1213/p/cnBJCM4,＃CCCトリスタンルートの思い出　まとめ,2017-04-23T13:32:44+09:00
https://posfie.com/@Count_Down_000/p/1rCmjYx,現代人が中世ファンタジーを想像する時に抜けるのが「糸・織布の価値」で、工業化前は手作業で作り上げたから布自体が高価だった,2023-08-08T23:08:05+09:00
https://posfie.com/@t_wada/p/2LOF48B,ベテランプログラマの前に立ち塞がるのは「老眼」,2020-01-17T15:27:29+09:00
https://posfie.com/@karako_romo/p/veY9VT8,【402話～460話】本職のお医者さんによる「K2」各話レビュー感想まとめ その５,2023-07-14T10:31:37+09:00
https://posfie.com/@karako_romo/p/iVIbPhc,【301～401話】本職のお医者さんによる「K2」各話レビュー感想まとめ その４,2023-06-16T18:21:44+09:00
https://posfie.com/@karako_romo/p/EKNFeO3,6/1からは無料チケットで！【202話～300話】本職のお医者さんによる「K2」各話レビュー感想まとめ その３,2023-05-27T07:15:10+09:00
https://posfie.com/@karako_romo/p/g6kOC3C,6/1以降は無料チケットで！【102話～201話】本職のお医者さんによる「K2」各話レビュー感想まとめ その２,2023-05-12T20:37:26+09:00
https://posfie.com/@StrnNcht/p/l6JUF2q,[偽史]椿井文書に関する発表を聞いたTL上の反応,2015-11-08T00:34:59+09:00
https://posfie.com/@paraparaporu/p/jFJL4HZ,「同じ日高屋を描いてるのに全く違う」2つの漫画の食事シーンが天と地の差と話題,2020-02-05T07:46:34+09:00
https://posfie.com/@BOOK_WALKER/p/em67dCE,公式の（……きこえますか…きこえますか…）並べてみたり…,2012-11-28T15:52:31+09:00
https://posfie.com/@lenchroot/p/EP08FyT,真船一雄先生トークショー＆サイン会(2023/05/03)レポートツイざっくりまとめ,2023-05-03T22:24:43+09:00
https://posfie.com/@karako_romo/p/nE0XzNf,6/1以降は無料チケットで！【1～101話】本職のお医者さんによる「K2」各話レビュー感想まとめ その１,2023-04-22T13:08:13+09:00
https://posfie.com/@pareorogas/p/Y91G2m1,オタク文化の転換点？ オタクの右傾化やミソジニー、ネタのベタ化、プロパガンダとしての「萌え絵」の批判的検証,2023-04-30T12:31:14+09:00
https://posfie.com/@petaritape/p/t3yzmiN,営業「ここの設計って変えられないんですかとお客さんから」ワイ「国際規格準拠なんで無理っすねー」営業「国際規格って変えられないんですか？」,2023-04-22T16:18:23+09:00
https://posfie.com/@saifisu/p/Pq6Z34P,教科書にまで載った、正倉院校倉の湿度調整機構（壁の通風説）は、江戸時代に提唱された誤った通説だったという話,2023-04-16T11:47:24+09:00
https://posfie.com/@cu6gane/p/V9XwIgP,星野源さんのドーム公演初日最初のMCでの「ドームですよ、ドーム！」発言に湧き立つP達,2019-02-03T07:00:41+09:00
https://posfie.com/@petaritape/p/ez52aoJ,ミサイルが飛んできて、Jアラートから数分で何が出来るの？→逃げ込む場所を決めて防護体制を取ろう「東京核撃」より,2023-04-13T10:57:39+09:00
https://posfie.com/@OHGO_ASUKA/p/g9RlG4d,自炊をはじめたある氷河期世代男子を見守るまとめ（日々更新中）【2024.12 堂々完結】,2020-05-03T06:38:07+09:00
https://posfie.com/@wvwwwwwwwwwwvw/p/tz2EZ9p,本物の軍人と鬼ごっこする番組の途中で本物の有事が発生、プロの本気を見せつけられ番組用に手を抜いていたことがバレてしまう,2023-03-22T10:59:58+09:00
