isbn_or_asin,book_title,author,publisher,published_date,sophia_opac
4910612041,大学院・大学編入のための応用数学 : 基本事項の整理と問題演習および入試問題研究,"桜井,基晴",プレアデス出版,202209,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC16505365
4274227170,縫うコンピュータグラフィックス : ぬいぐるみから学ぶ3DCGとシミュレーション,"五十嵐,悠紀,1982-",オーム社,202105,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC07621489
4873119693,実用Go言語 : システム開発の現場で知っておきたいアドバイス,"渋川,よしき 辻,大志郎,1990- 真野,隼記,1986-",オーム社 (発売),202204,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC14200050
4327452831,文芸翻訳教室,"越前,敏弥,1961-",研究社,201804,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26048036
4065250455,なぜオナニーはうしろめたいのか 199 (星海社新書),"赤川,学,1967- 小堀,善友,1975- シオリーヌ,1991- 典雅",講談社 (発売),202110,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC10723432
4863542755,組込みエンジニアの教科書 = The textbook of the Embedded engineer,"渡辺,登,pub.2019 牧野,進二",シーアンドアール研究所,201904,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB2814003X
4000298739,松坂和夫数学入門シリーズ = Kazuo Matsuzaka's Introduction to Mathematics. 3,"松坂,和夫,1927-2012",岩波書店,201811,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB27181144
4061975978,新約聖書外典 (講談社文芸文庫),"荒井,献,1930-",講談社,199712,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA34100225
4151201009,地下鉄道 100 (ハヤカワepi文庫),"Whitehead,Colson,1969- 谷崎,由依",早川書房,202010,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4151201009
4880655066,ダム建設と地域住民補償,古賀邦雄／著,水曜社,20210624,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC08164043
4344983874,子どものまま中年化する若者たち : 根拠なき万能感とあきらめの心理 な-22-1 (幻冬舎新書),"鍋田,恭孝,1947-",幻冬舎,201507,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB19260653
4000298313,代数への出発 (新装版数学入門シリーズ),"松坂,和夫,1927-2012",岩波書店,201503,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4000298313
4314011521,中古典のすすめ,"斉藤,美奈子,1956-",紀伊國屋書店,202009,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4314011521
4865280111,戦前尖端語辞典,平山亜佐子／著・編集 山田参助／絵・漫画,左右社,20210131,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC05502489
433403795X,テキヤはどこからやってくるのか? : 露店商いの近現代を辿る 692 (光文社新書),"厚,香苗,1975-",光文社,201404,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB15377761
4480098682,精講　漢文 (ちくま学芸文庫),前野直彬／著,筑摩書房,20180808,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB26616172
4480028188,路上観察学入門,赤瀬川原平／著 藤森照信／著 南伸坊／編集,筑摩書房,19930101,https://www.lib.sophia.ac.jp/opac/opac_openurl?isbn=4480028188
4315523275,"マス・アート : 真理,美,そして方程式","Ornes,Stephen 巴山,竜来,1982- 赤池,ともえ",ニュートンプレス,202102,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC0504654X
