isbn_or_asin,book_title,author,publisher,published_date,sophia_opac,sophia_mathlib_opac
4121028147,吾妻鏡ー鎌倉幕府「正史」の虚実 (中公新書 ； 2814),藪本勝治,中央公論新社,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07945568,
4627062311,定理のつくりかた = How to Make a Theorem,"竹山,美宏",森北出版,201802,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25769881,
4480076409,歴史学はこう考える １８１５ (ちくま新書),松沢裕作／本文,筑摩書房,20240911,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08538694,
4562074663,古代ギリシア・ローマの魔術のある日常,フィリップ・マティザック 上京恵 藤村シシン,原書房,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08851200,
4297141574,TCP/IP技術入門 : プロトコルスタックの基礎×実装 : HTTP/3 QUIC モバイル Wi-Fi IoT (Tech×Books plus),"中山,悠 丸田,一輝",技術評論社,202405,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07089176,
4784216162,着衣する身体と女性の周縁化,"武田,佐知子,1948-",思文閣出版,201204,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB09174690,
4814400853,Binary Hacks Rebooted : 低レイヤの世界を探検するテクニック89選,河田旺 小池悠生 渡邉慶一 佐伯学哉 荒田実樹,,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08563738,
4764907070,統計学再入門ー科学哲学から探る統計思考の原点ー (統計スポットライト・シリーズ　 ； 第7巻),森元良太,近代科学社,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD08558771,
4910292020,言語学者、外の世界へ羽ばたく : ラッパー・声優・歌手とのコラボからプリキュア・ポケモン名の分析まで 2 (リベラルアーツコトバ双書),"川原,繁人,1980-",教養検定会議,202204,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BC14677574,
462130898X,ネットワーク科学入門 : Pythonで学ぶデータ分析とモデリング,"Menczer,Filippo Fortunato,Santo Davis,ClaytonA ほか",丸善出版,202312,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD05165444,
406512476X,コンパクトデータ構造 : 実践的アプローチ,"Navarro,Gonzalo,1969- 定兼,邦彦,1971-",講談社,202307,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03221544,
4339013722,音楽情報処理 = Music Information Processing 2 (メディアテクノロジーシリーズ),"後藤,真孝 北原,鉄朗 深山,覚 竹川,佳成 吉井,和佳",コロナ社,202309,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD03805104,
4320017382,これなら分かる応用数学教室 : 最小二乗法からウェーブレットまで,"金谷,健一,1947-",共立出版,200306,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA62447424,
4297137690,ビジュアルでわかる 信号処理入門,井澤裕司／著,技術評論社,20231018,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD04383745,
4336075514,ナポレオン時代の犯罪,ジャン・チュラール 辻谷泰志,国書刊行会,,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD07157050,
4065356350,暗号の理論と技術 = Theory and Practice of Cryptography : 量子時代のセキュリティ理解のために,"国広,昇 安田,雅哉",講談社,202405,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD06987711,
4826902131,事実はなぜ人の意見を変えられないのか : 説得力と影響力の科学,"Sharot,Tali 上原,直子",白揚社,201908,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB28705455,
491125601X,絶望からの新聞論,南彰／著,地平社,20240430,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BD06825629,
462205051X,ロビンソン変形譚小史 : 物語の漂流 (みすずライブラリー),"岩尾,竜太郎,1952-2010",みすず書房,200003,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA45944863,
