bookmeter_url,isbn_or_asin,book_title,author,publisher,published_date,exist_in_Sophia,exist_in_UTokyo,sophia_opac,utokyo_opac,sophia_mathlib_opac,description
https://bookmeter.com/books/773136,4621049984,組合せ最適化アルゴリズムの最新手法 : 基礎から工学応用まで,"Sait,SadiqM,1957- Youssef,Habib 白石,洋一,1954-",丸善,200203,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA56242325,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA56242325,,
https://bookmeter.com/books/114832,4254127820,情報量規準 2 (シリーズ〈予測と発見の科学〉),"小西,貞則,1948- 北川,源四郎,1948-",朝倉書店,200409,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA68867240,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA68867240,,
https://bookmeter.com/books/212492,4000103431,岩波講座ソフトウェア科学 3,"石畑,清,1952-",岩波書店,198903,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BN0325221X,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BN0325221X,,
https://bookmeter.com/books/153821,4000061917,論理と計算のしくみ,"萩谷,昌己,1957- 西崎,真也",岩波書店,200706,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA82343895,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA82343895,,
https://bookmeter.com/books/351146,4320097351,コンピュータのなかの人工社会 : マルチエージェントシミュレーションモデルと複雑系,"山影,進,1949- 服部,正太",共立出版,200208,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA58311338,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA58311338,,
https://bookmeter.com/books/3780,4873112885,Binary hacks : ハッカー秘伝のテクニック100選,"高林,哲 鵜飼,文敏 佐藤,祐介,ソフトウェアエンジニア",オーム社,200611,No,Yes,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA79151557,,
https://bookmeter.com/books/114835,4894714310,楕円曲線暗号,"Blake,IanF Seroussi,Gadiel,1955- Smart,NigelPaul,1967- ほか",ピアソン・エデュケーション,200112,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA54753709,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA54753709,,
https://bookmeter.com/books/12653499,4320121740,簡潔データ構造 = Succinct Data Structures 8. 数理技法編 (アルゴリズム・サイエンスシリーズ),"定兼,邦彦,1971- 杉原,厚吉,1948- 室田,一雄,1955- 山下,雅史,1951-",共立出版,201802,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB25598869,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BB25598869,,
https://bookmeter.com/books/8970219,4274050645,関数プログラミング珠玉のアルゴリズムデザイン,"Bird,Richard,1943- 山下,伸夫 オーム社",オーム社,201411,Yes,No,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BB17124596,,,
https://bookmeter.com/books/1456105,4254126174,組合せ最適化 : 短編集 14 (シリーズ「現代人の数理」),"久保,幹雄,1963- 松井,知己,1962-",朝倉書店,199901,Yes,Yes,https://www.lib.sophia.ac.jp/opac/opac_openurl?ncid=BA39478777,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA39478777,https://mathlib-sophia.opac.jp/opac/Advanced_search/search?isbn=9784254126174&mtl1=1&mtl2=1&mtl3=1&mtl4=1&mtl5=1,
https://bookmeter.com/books/1625911,4901683101,工学基礎離散数学とその応用 TKM-A2 (新・工科系の数学),"徳山,豪,1957-",サイエンス社,200311,No,Yes,,https://opac.dl.itc.u-tokyo.ac.jp/opac/opac_openurl?ncid=BA64563903,,
